course_title,course_field,diff_level
Data Engineer,School of Data Science,Intermediate
Data Scientist,School of Data Science,Advanced
Data Analyst,School of Data Science,Intermediate
C++,School of Autonomous Systems,Intermediate
Product Manager,School of Product Management,Beginner
Business Analytics,School of Business,Beginner
Introduction to Programming,School of Programming & Development,Beginner
Digital Marketing,School of Business,Beginner
Deep Learning,School of Artificial Intelligence,Intermediate
Blockchain Developer,School of Programming & Development,Intermediate
UX Designer,School of Product Management,Beginner
Artificial Intelligence for Trading,School of Artificial Intelligence,Intermediate
Machine Learning Engineer,School of Artificial Intelligence,Intermediate
AI Programming with Python,School of Artificial Intelligence,Beginner
Front End Web Developer,School of Programming & Development,Intermediate
Full Stack Web Developer,School of Programming & Development,Intermediate
SQL,School of Data Science,Beginner
Machine Learning DevOps Engineer,School of Artificial Intelligence,Advanced
IntermediatePython,School of Programming & Development,Intermediate
React,School of Programming & Development,Intermediate
Java Developer,School of Programming & Development,Intermediate
AI for Healthcare,School of Artificial Intelligence,Advanced
Data Product Manager,School of Product Management,Intermediate
Full Stack JavaScript Developer,School of Programming & Development,Intermediate
Data Structures and Algorithms,School of Programming & Development,Intermediate
Java Programming,School of Programming & Development,Beginner
Android Kotlin Developer,School of Programming & Development,Intermediate
AI Product Manager,School of Product Management,Beginner
Deep Reinforcement Learning,School of Artificial Intelligence,Advanced
Cloud DevOps Engineer,School of Cloud Computing,Intermediate
Computer Vision,School of Artificial Intelligence,Advanced
Robotics Software Engineer,School of Autonomous Systems,Advanced
Natural Language Processing,School of Artificial Intelligence,Advanced
Data Architect,School of Data Science,Advanced
Cloud Developer,School of Cloud Computing,Intermediate
Intro to Self-Driving Cars,School of Autonomous Systems,Intermediate
Cloud Native Application Architecture,School of Cloud Computing,Intermediate
Data Streaming,School of Data Science,Advanced
Introduction to Cybersecurity,School of Cybersecurity,Beginner
Data Analysis and Visualization with Power BI,School of Data Science,Beginner
Intro to Machine Learning with PyTorch,School of Artificial Intelligence,Intermediate
Sensor Fusion Engineer,School of Autonomous Systems,Advanced
Agile Software Development,School of Product Management,Beginner
Intro to Machine Learning with TensorFlow,School of Artificial Intelligence,Intermediate
Ethical Hacker,School of Cybersecurity,Advanced
AWS Cloud Architect,School of Cloud Computing,Advanced
iOS Developer,School of Programming & Development,Beginner
Cloud Developer using Microsoft Azure,School of Cloud Computing,Intermediate
IntermediateJavaScript,School of Programming & Development,Intermediate
AI for Business Leaders,School of Business,Intermediate
Predictive Analytics For Business,School of Business,Beginner
Marketing Analytics,School of Business,Beginner
Machine Learning Engineer for Microsoft Azure,School of Artificial Intelligence,Intermediate
Activation and Retention Strategy,School of Product Management,Intermediate
Android Basics,School of Programming & Development,Beginner
Security Engineer,School of Cybersecurity,Intermediate
Monetization Strategy,School of Product Management,Intermediate
Artificial Intelligence,School of Artificial Intelligence,Advanced
Security Analyst,School of Cybersecurity,Intermediate
Data Visualization,School of Data Science,Beginner
Flying Car and Autonomous Flight Engineer,School of Autonomous Systems,Advanced
Data Science for Business Leaders,School of Business,Intermediate
Programming for Data Science with R,School of Data Science,Beginner
Growth Product Manager,School of Product Management,Intermediate
Cloud DevOps using Microsoft Azure,School of Cloud Computing,Intermediate
RPA Developer with UiPath,School of Programming & Development,Beginner
Intel� Edge AI for IoT Developers,School of Artificial Intelligence,Advanced
Hybrid Cloud Engineer,School of Cloud Computing,Intermediate
Cloud Computing for Business Leaders,School of Business,Intermediate
Self Driving Car Engineer,School of Autonomous Systems,Advanced
Cyber-Physical Systems Design & Analysis,School of Autonomous Systems,Advanced
Differential Equations in Action,School of Autonomous Systems,Intermediate
Self-Driving Fundamentals: Featuring Apollo ,School of Autonomous Systems,Beginner
Introduction to Machine Learning using Microsoft Azure,School of Artificial Intelligence,Intermediate
AI Fundamentals,School of Artificial Intelligence,Beginner
Linear Algebra Refresher Course,School of Artificial Intelligence,Intermediate
Machine Learning: Unsupervised Learning,School of Artificial Intelligence,Intermediate
Big Data Analytics in Healthcare,School of Artificial Intelligence,Intermediate
Intro to Descriptive Statistics,School of Artificial Intelligence,Beginner
Intel� Edge AI Fundamentals with OpenVINO�,School of Artificial Intelligence,Intermediate
Artificial Intelligence,School of Artificial Intelligence,Intermediate
Secure and Private AI,School of Artificial Intelligence,Advanced
Model Building and Validation,School of Artificial Intelligence,Advanced
Data Visualization and D3.js,School of Artificial Intelligence,Intermediate
Machine Learning for Trading,School of Artificial Intelligence,Intermediate
Machine Learning,School of Artificial Intelligence,Intermediate
Intro to Hadoop and MapReduce,School of Artificial Intelligence,Intermediate
Real-Time Analytics with Apache Storm,School of Artificial Intelligence,Intermediate
A/B Testing,School of Artificial Intelligence,Intermediate
Data Analysis with R,School of Artificial Intelligence,Intermediate
Knowledge-Based AI: Cognitive Systems,School of Artificial Intelligence,Advanced
Introduction to TensorFlow Lite,School of Artificial Intelligence,Intermediate
Introduction to Computer Vision,School of Artificial Intelligence,Intermediate
Intro to TensorFlow for Deep Learning,School of Artificial Intelligence,Intermediate
Eigenvectors and Eigenvalues,School of Artificial Intelligence,Beginner
Intro to Artificial Intelligence,School of Artificial Intelligence,Intermediate
Artificial Intelligence for Robotics,School of Artificial Intelligence,Advanced
Intro to Deep Learning with PyTorch,School of Artificial Intelligence,Intermediate
AWS DeepRacer,School of Artificial Intelligence,Intermediate
Reinforcement Learning,School of Artificial Intelligence,
Introduction to Machine Learning Course,School of Artificial Intelligence,Intermediate
Rapid Prototyping,School of Product Management,Intermediate
Product Design,School of Product Management,Intermediate
App Monetization,School of Product Management,Intermediate
A/B Testing for Business Analysts,School of Product Management,Intermediate
Product Manager Interview Preparation,School of Product Management,Beginner
Hybrid Cloud Fundamentals,School of Cloud Computing,Intermediate
Intro to Cloud Computing,School of Cloud Computing,Beginner
Intro to Information Security,School of Programming & Development,Intermediate
Cyber-Physical Systems Security,School of Programming & Development,Intermediate
Network Security,School of Programming & Development,Intermediate
Creating an Analytical Dataset,School of Business,Beginner
Problem Solving with AdvancedAnalytics,School of Business,Beginner
Classification Models,School of Business,Intermediate
Segmentation and Clustering,School of Business,Intermediate
Time Series Forecasting,School of Business,Intermediate
App Marketing,School of Business,Intermediate
How to Build a Startup,School of Business,Intermediate
Get Your Startup Started,School of Business,Intermediate
Managing Remote Teams with Upwork,School of Business,Beginner
Intro to Data Science,School of Data Science,Intermediate
Intro to Data Analysis,School of Data Science,Beginner
SQL for Data Analysis,School of Data Science,Beginner
Database Systems Concepts & Design,School of Autonomous Systems,Intermediate
Intro to Inferential Statistics,School of Data Science,Beginner
Spark,School of Data Science,Intermediate
Data Analysis and Visualization,School of Data Science,Intermediate
Microsoft Power Platform,School of Programming & Development,Beginner
Web Tooling & Automation,School of Programming & Development,Intermediate
Front End Frameworks,School of Programming & Development,Advanced
Responsive Web Design Fundamentals,School of Programming & Development,Intermediate
Linux Command Line Basics,School of Programming & Development,Beginner
How to Install Android Studio,School of Programming & Development,Beginner
Android Basics: Multiscreen Apps,School of Programming & Development,Beginner
Website Performance Optimization,School of Programming & Development,Intermediate
iOS Networking with Swift,School of Programming & Development,Advanced
JavaScript Design Patterns,School of Programming & Development,Advanced
Android Basics: User Input,School of Programming & Development,Beginner
Android Performance,School of Programming & Development,Advanced
Responsive Images,School of Programming & Development,Intermediate
Xcode Debugging,School of Programming & Development,Advanced
Gradle for Android and Java,School of Programming & Development,Advanced
Build Native Mobile Apps with Flutter,School of Programming & Development,Intermediate
JavaScript Promises,School of Programming & Development,Advanced
UIKit Fundamentals,School of Programming & Development,Intermediate
Android Basics: User Interface,School of Programming & Development,Beginner
Client-Server Communication,School of Programming & Development,Advanced
What is Programming?,School of Programming & Development,Beginner
Building High Conversion Web Forms,School of Programming & Development,Intermediate
AdvancedAndroid App Development,School of Programming & Development,Advanced
Software Architecture & Design,School of Programming & Development,Intermediate
Authentication & Authorization: OAuth,School of Programming & Development,Intermediate
Intro to iOS App Development with Swift,School of Programming & Development,Intermediate
Introduction to Operating Systems,School of Programming & Development,Intermediate
